,date_time,PM2_5,PM10,SO2,NO2,CO,O3,TEMP
0,2013-03-01 00:00:00,3.0,6.0,13.0,7.0,300.0,85.0,-2.3
1,2013-03-01 01:00:00,3.0,3.0,6.0,6.0,300.0,85.0,-2.5
2,2013-03-01 02:00:00,3.0,3.0,22.0,13.0,400.0,74.0,-3.0
3,2013-03-01 03:00:00,3.0,6.0,12.0,8.0,300.0,81.0,-3.6
4,2013-03-01 04:00:00,3.0,3.0,14.0,8.0,300.0,81.0,-3.5
5,2013-03-01 05:00:00,3.0,3.0,10.0,17.0,400.0,71.0,-4.5
6,2013-03-01 06:00:00,4.0,6.0,12.0,22.0,500.0,65.0,-4.5
7,2013-03-01 07:00:00,3.0,6.0,25.0,39.0,600.0,48.0,-2.1
8,2013-03-01 08:00:00,9.0,25.0,13.0,42.0,700.0,46.0,-0.2
9,2013-03-01 09:00:00,11.0,29.0,5.0,18.0,500.0,73.0,0.6
10,2013-03-01 10:00:00,9.0,10.0,3.0,10.0,300.0,83.0,2.0
11,2013-03-01 11:00:00,3.0,3.0,4.0,9.0,300.0,81.0,3.6
12,2013-03-01 12:00:00,3.0,6.0,4.0,8.0,300.0,90.0,4.8
13,2013-03-01 13:00:00,3.0,101.0,5.0,9.0,300.0,89.0,5.8
14,2013-03-01 14:00:00,9.0,60.0,5.0,6.0,300.0,94.0,5.9
15,2013-03-01 15:00:00,3.0,34.0,6.0,7.0,300.0,94.0,6.0
16,2013-03-01 16:00:00,3.0,28.0,5.0,9.0,300.0,92.0,5.4
17,2013-03-01 17:00:00,6.0,25.0,19.0,12.0,300.0,88.0,3.5
18,2013-03-01 18:00:00,4.0,17.0,40.0,22.0,600.0,77.0,2.7
19,2013-03-01 19:00:00,7.0,19.0,37.0,22.0,600.0,75.0,2.0
20,2013-03-01 20:00:00,8.0,21.0,23.0,14.0,300.0,80.0,1.1
21,2013-03-01 21:00:00,7.0,16.0,34.0,19.0,300.0,74.0,1.6
22,2013-03-01 22:00:00,5.0,13.0,25.0,16.0,300.0,76.0,0.4
23,2013-03-01 23:00:00,7.0,12.0,43.0,25.0,500.0,65.0,0.3
24,2013-03-02 00:00:00,11.0,13.0,23.0,16.0,400.0,69.0,-0.5
25,2013-03-02 01:00:00,12.0,10.0,24.0,18.0,400.0,67.0,-1.8
26,2013-03-02 02:00:00,13.0,9.0,,56.0,800.0,33.0,-1.7
27,2013-03-02 03:00:00,14.0,24.0,23.0,42.0,,,-2.5
28,2013-03-02 04:00:00,14.0,18.0,24.0,,400.0,45.0,-3.4
29,2013-03-02 05:00:00,13.0,13.0,37.0,57.0,600.0,28.0,-3.5
30,2013-03-02 06:00:00,16.0,15.0,38.0,66.0,900.0,16.0,-3.5
31,2013-03-02 07:00:00,19.0,25.0,39.0,63.0,900.0,18.0,-3.3
32,2013-03-02 08:00:00,22.0,26.0,41.0,66.0,1100.0,14.0,-2.0
33,2013-03-02 09:00:00,29.0,43.0,53.0,69.0,1600.0,13.0,-0.2
34,2013-03-02 10:00:00,46.0,70.0,40.0,54.0,900.0,29.0,0.6
35,2013-03-02 11:00:00,30.0,33.0,40.0,61.0,800.0,28.0,1.3
36,2013-03-02 12:00:00,31.0,41.0,42.0,51.0,700.0,38.0,1.9
37,2013-03-02 13:00:00,30.0,34.0,42.0,50.0,700.0,42.0,2.3
38,2013-03-02 14:00:00,30.0,32.0,50.0,59.0,900.0,36.0,3.0
39,2013-03-02 15:00:00,38.0,41.0,49.0,58.0,900.0,38.0,2.9
40,2013-03-02 16:00:00,42.0,49.0,49.0,62.0,900.0,35.0,2.5
41,2013-03-02 17:00:00,44.0,50.0,50.0,66.0,900.0,31.0,2.1
42,2013-03-02 18:00:00,44.0,55.0,50.0,73.0,900.0,23.0,1.5
43,2013-03-02 19:00:00,47.0,60.0,34.0,76.0,1000.0,18.0,0.3
44,2013-03-02 20:00:00,52.0,65.0,43.0,84.0,1300.0,12.0,0.0
